번호,작성자,작성일,댓글,회차,좋아요,대댓글수
1826,밀크베리,17.06.17,원래 아이들의 모습은 부모의 행동과 모습이 그대로 투영되지요...전 부모는 아닙니다만...학생들을 가르쳤던 경험으로 볼때 아이의 모습은 보모님을 호출하면 같다는겁니다.그래서 가정교육이 정말 중요하다는걸 알았어요.지금의 성연은 엄마의 나약한부분을 많이 닮고 그대로 투영하고있고 영준은 아버지의 방관자적인 모습을 타의지만 그대로 투영하고있네요.,김 비서가 왜 그럴까(애장판) 45화,6,1
1827,무시칸,17.06.14,사랑받고 싶었구먼 영준은 걍 잊은 채 해준건가?,김 비서가 왜 그럴까(애장판) 42화,6,댓글 달기
1828,예?,17.06.01,김밥에 뭔 캐비아랑 푸아그라가 들어가,김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1829,꼼찌슈,17.05.30,우와.........글로만 읽는대도 소름이 와드득!!!돋아서 내소름 보구 내가 놀랜..ㅠㅠ 영준아~~~~ 어찌 제정신가지고 살았니... 대단하다...모든 재수없음이 아름다움으로 승화되는 순간이야~~~,김 비서가 왜 그럴까(애장판) 54화,6,댓글 달기
1830,범미르,17.05.28,"여러분, 부자랑 결혼하려는 미소도 귀엽지만 영준이가 ""아버지가 현명하시네""랰ㅋㅋㅋㅋㅋㅋㅋ 아버지 현명하셬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ( 폭소",김 비서가 왜 그럴까(애장판) 52화,6,댓글 달기
1831,쀼쀼,17.05.25,영준:무슨소리야 위로라니?난 사실을말한것뿐인데?,김 비서가 왜 그럴까(애장판) 76화,6,댓글 달기
1832,지로냥,17.05.19,ㅋㅋㅋㅋㅋ 영준아 ㅋㅋ 저거 남얘기 아닌데?? ㅋ,김 비서가 왜 그럴까(애장판) 68화,6,댓글 달기
1833,패더,17.05.18,"관종병자의 몸부림에 미소가 착각에 빠지겠군...
그나저나 성연이 아니고 성현이라고 몇번이나 처절하게 외쳤던 영준이 불쌍해지는 타임~
좀 모자란 사오정 같던 미소가 크면서 어떻게 공부는 그렇게 잘하게 됐는지 미스터리!!",김 비서가 왜 그럴까(애장판) 34화,6,댓글 달기
1834,달달,17.05.16,"👍👍👍👍👍👍👍
하루세편~~~
넘넘행복하네요.감사해요",김 비서가 왜 그럴까(애장판) 65화,6,댓글 달기
1835,otelo,17.05.14,"박 박사의 조언.... 
묘~~한 매력의 조언입니다... ^^

키 메이커 랄까? 매력의 소유자네요...",김 비서가 왜 그럴까(애장판) 60화,6,댓글 달기
1836,망초,17.05.09,성연이가 이런 상황을 겪었다면 바로 첫날 기절하고 죽었을것 같군...영준이 진짜 대단한 아이다...그 어린 나이에 저렇게 이성적이다니...,김 비서가 왜 그럴까(애장판) 53화,6,댓글 달기
1837,심심하다,17.05.08,승룡봉송ㅋㅋㅋ   역사에벌써 기록? 하려구? ㅋㅋ   역시 강아지이름지을때부터 알아봄..절대 작명소하지마라  망한다,김 비서가 왜 그럴까(애장판) 69화,6,댓글 달기
1838,므녜키,17.05.08,영준이 미소가 못 알아봐서 씁쓸했구나?,김 비서가 왜 그럴까(애장판) 74화,6,댓글 달기
1839,otelo,17.05.08,"단 한 마디만 생각난다..

영준이 멋지다~~~",김 비서가 왜 그럴까(애장판) 55화,6,댓글 달기
1840,은스,17.05.08,재미있었는데... 자는것만 열심히 나오고 글이 좀 이상해져버린듯?,김 비서가 왜 그럴까(애장판) 71화,6,댓글 달기
1841,Iwishyour..,17.05.07,"자살한 여자의 시체보고 놀란 미소를
그냥 저건 거미라고 괜찮다고 영준이 달래준듯 ㅜㅜ",김 비서가 왜 그럴까(애장판) 49화,6,댓글 달기
1842,꿈꾸는아저씨!!!,17.05.07,"고놈들 귀엽게들 노네...
동네방네 다 광고하면서 사귈거 아니면
대충하지...ㅎ
하긴 둘 빼고는 다 알겠다...ㅎ",김 비서가 왜 그럴까(애장판) 21화,6,댓글 달기
1843,Robin,17.05.06,"영준이가 제일 불쌍하네. 
저 나르시시즘마저 없었더라면 진짜 못 버텼을듯 ㅠㅠ 다행이다 진짜",김 비서가 왜 그럴까(애장판) 56화,6,댓글 달기
1844,릴리에타는_세계일짱마총사,17.05.05,"자기애가 높다고 해서 공감능력이 떨어지는 건 아니라
는 전형적인 예시. 진짜 우리(?) 영준이는 난 놈 중에서도 난 놈이다...",김 비서가 왜 그럴까(애장판) 56화,6,1
1845,eun,17.05.04,ㅋㅋㅋㅋ 미소가 영준이한테 벌받을 짓 했네~ 영준이 성격에 그 수모를 받으며 손에 쥔 선물인데 ㅋㅋ,김 비서가 왜 그럴까(애장판) 83화,6,댓글 달기
1846,eun,17.05.04,ㅋㅋㅋ 이 사랑스런 개그커플 어쩔~,김 비서가 왜 그럴까(애장판) 82화,6,댓글 달기
1847,꼼찌슈,17.05.02,"부부도 은근 닮아간다던데..
영준과 미소도 오래 함께한 만큼 닮아가나보네..
이참에 뭐..부부로 관계정리하시죠..",김 비서가 왜 그럴까(애장판) 19화,6,댓글 달기
1848,조조마마,17.05.01,ㅋㅋ 오다가 주웠다는 진부한 멘트  역쉬 츤데레 영준~,김 비서가 왜 그럴까(애장판) 81화,6,댓글 달기
1849,봐후봐후,17.04.28,나도 차총갖고싶다 .... 나도 중국여행..,김 비서가 왜 그럴까(애장판) 80화,6,댓글 달기
1850,jangdocdae,17.04.28,영준이 너도 딸 낳아서 당해봐라 라는 말이 복선 같아 ㅋㅋㅋ 다음 외전에서 영준이가 딸한테 당하는 거 나오는거 아냐?!,김 비서가 왜 그럴까(애장판) 84화(완결),6,댓글 달기
1851,쩡2,17.04.28,외전 음 생각보다 별루네 너무 기대를 했나ㅜㅜ,김 비서가 왜 그럴까(애장판) 84화(완결),6,1
1852,aaron,17.04.28,"에고.. 거미보고 떠는 모습에서 이미 미소라는걸 확신 했나 보네
둘이 해피 엔딩이여서 너무너무 좋다",김 비서가 왜 그럴까(애장판) 74화,6,댓글 달기
1853,아름드리,17.04.28,"박박사 이름이 유식이었어?
ㅋㅋ 박유식ㅋㅋ
왠지 어울리면서 안어울린달까?ㅋㅋ",김 비서가 왜 그럴까(애장판) 82화,6,댓글 달기
1854,cacao,17.04.27,이 외전 읽으며 웃느라 ㅋㅋㅋ 웰케 웃겨요 보배랑 태양이 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 84화(완결),6,댓글 달기
1855,🌸🌸고냥이로소이다🌸🌸,17.04.27,궁금했던 부분들 나오니깐 기분이 새롭네ㅋㅋ,김 비서가 왜 그럴까(애장판) 82화,6,댓글 달기
1856,플린,17.04.27,생일씬 좋다..,김 비서가 왜 그럴까(애장판) 82화,6,댓글 달기
1857,김현숙,17.04.27,보배랑 태양이 넘 귀엽네요.근데 외전은 이게 끝인가요?ㅜㅜ,김 비서가 왜 그럴까(애장판) 84화(완결),6,댓글 달기
1858,오기,17.04.27,"우와~~~ 생각지도 않은 이런 행복한 일이
작가님 감사합니다 잘 볼게요^^",김 비서가 왜 그럴까(애장판) 79화,6,댓글 달기
1859,꼼찌슈,17.04.26,"미소가 이해력이 갑인겐가..
내가 바보인겐가...",김 비서가 왜 그럴까(애장판) 16화,6,댓글 달기
1860,솔방울,17.04.26,작가님 약사 맞아용ㅋㅋ 부산에서 약사하세요 다 갖춘 작가님이라능...ㅜㅜ부럽,김 비서가 왜 그럴까(애장판) 65화,6,댓글 달기
1861,테라포밍,17.04.26,"영준이 기억을 언제 찾았을까요?
아님 처음부터 기억을 잃은게 아니라 가족들을위해 잃은척?? 했던걸까요??",김 비서가 왜 그럴까(애장판) 42화,6,1
1862,귤딩,17.04.25,미소 졸귀💓역시 어렸을때부터 방글방글,김 비서가 왜 그럴까(애장판) 52화,6,댓글 달기
1863,댕댕,17.04.24,"이거 드라마로 한다면 남주 캐릭터 누구 캐스팅 될지 너무 웃겨요ㅎㅎ
잘생겼는데 쫌 자뻑스탈에 너무 가볍지 않은 배우가
누가있을까요~~~~~댓글 놀이 해보아요ㅋㅋ",김 비서가 왜 그럴까(애장판) 08화,6,7
1864,촨촨촨,17.04.24,아빠랑 엄마 장점만 닮은 최종오의가 탄생했다!!!!!!!,김 비서가 왜 그럴까(애장판) 70화,6,댓글 달기
1865,마미,17.04.22,"아빠가 자기를 닮았다니 ....
아버지 보다 더  대단한 아들이 태어났네요",김 비서가 왜 그럴까(애장판) 70화,6,댓글 달기
1866,★24,17.04.22,임신은 미소가 하게 생겼는데?,김 비서가 왜 그럴까(애장판) 66화,6,댓글 달기
1867,와인빙자,17.04.21,아... 야해 ㅋㅋㅋ넘좋네,김 비서가 왜 그럴까(애장판) 63화,6,댓글 달기
1868,뽀~♡,17.04.21,얼마나 무서웠은까! 애기들인데ㅜㅜ,김 비서가 왜 그럴까(애장판) 54화,6,댓글 달기
1869,파래김,17.04.18,역시...이래서 조기 교육(?)이 중요한가 봅니다 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 52화,6,댓글 달기
1870,HsIsIaCo,17.04.18,고기 맛을 알아버렸어 누군가가,김 비서가 왜 그럴까(애장판) 64화,6,댓글 달기
1871,지니엘,17.04.17,영준이가 본 소설은 아마도 형이 쓴 19금 로맨스소설이겠죠,김 비서가 왜 그럴까(애장판) 28화,6,댓글 달기
1872,미소러브^^♡,17.04.16,영준은 자고있고..미소는 발의 흉터를 보게되지않을까,김 비서가 왜 그럴까(애장판) 45화,6,2
1873,igotit,17.04.15,ㅎㅎㅎ작가님 이렇게 잘쓰시는 걸 이때까지 안쓰고 어떻게 버티셨데ㅎㅎㅎㅎㅎ좋구로,김 비서가 왜 그럴까(애장판) 62화,6,댓글 달기
1874,하고싶은거다하면서살거에요,17.04.11,요런내용이만화에서도나올지...큼기대되는구먼,김 비서가 왜 그럴까(애장판) 68화,6,댓글 달기
1875,치토게,17.04.09,했네 했어,김 비서가 왜 그럴까(애장판) 65화,6,댓글 달기
1876,🍭롤리팝🍭,17.04.09,딴사람은 몰라도 미소는 알아도 될 1인인데..걍 털어놓고 둘만 공유하는 비밀로 하면 안되나? 😆😆,김 비서가 왜 그럴까(애장판) 48화,6,댓글 달기
1877,한연덕,17.04.07,무지개빛 명품 빤스 ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 47화,6,댓글 달기
1878,❄망고빙수❄,17.04.07,미소가 보통 우리나라 드라마에서볼수있는 멍청한 여주가 아니라서 다행임 드라마보다보면 맹하게 당하고 속는 여주땜에 스트레스지수 상승하는데 미소는 똑똑해서 사이다,김 비서가 왜 그럴까(애장판) 35화,6,댓글 달기
1879,으아니~이런일이?,17.04.07,"영준이 정력도 절륜하네
돈많지 잘생겼지 똑똑하지
거기다 정력까지!!!!!!",김 비서가 왜 그럴까(애장판) 66화,6,댓글 달기
1880,소설중독,17.04.07,영준이 ㅎㅎㅎ곧 들이닥치겠당~~미소야 너무 화내지말아줘ㅠㅠ,김 비서가 왜 그럴까(애장판) 60화,6,댓글 달기
1881,슬비공주,17.04.07,ㅋ  태양이 진진한데...넘웃겨,김 비서가 왜 그럴까(애장판) 73화,6,댓글 달기
1882,Ryan,17.04.05,드라마로 보고싶다...,김 비서가 왜 그럴까(애장판) 55화,6,2
1883,🍭롤리팝🍭,17.04.04,"나랑 가자 끝까지...에고 좋다~~
오늘은 여기가 누울 자린갑다..😍😍😍",김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1884,아퀴나스,17.04.04,그러게요 어머니 는 정직하게 영준이가 성현 이었다 바로 그 아이다 라고 하셨어야 했는데...!!,김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1885,멜하울,17.04.03,"성연이 진짜....아별로임 징징대는거진짜....
가족들도 알면서 왜놔둬?? 악화되는거 뻔히보이는데.....",김 비서가 왜 그럴까(애장판) 26화,6,댓글 달기
1886,🍭롤리팝🍭,17.04.03,"영준이 너무힘든 유년시절을 보냈구나..
그래도 똑바로 잘 자랐네..
그나저나 한번이 어렵지 이젠 뭐 뽀뽀도 자연스럽고😆😆😆",김 비서가 왜 그럴까(애장판) 42화,6,댓글 달기
1887,꿈꾸는아저씨!!!,17.04.03,"세상에 저런 남녀가 있을까...
보면서 웃음 참기가 힘드네...
애네 지금 연애싸움도 아니고 뭔 지랄이지...",김 비서가 왜 그럴까(애장판) 08화,6,댓글 달기
1888,지니,17.04.02,아무리 어렸다지만 유괴됐다 간신히 살아돌아온 동생을 괴롭히다니 성연이 못됐네요!!!,김 비서가 왜 그럴까(애장판) 42화,6,댓글 달기
1889,웹툰웹소중독자,17.04.01,앙~~~~~~~~~~~~~  영준이 때메 결혼한지 10년 넘었는디 간질간질 풋풋한 연애하고 싶당~~~!!! >.<,김 비서가 왜 그럴까(애장판) 50화,6,댓글 달기
1890,탁발선비,17.03.31,"아! 됐고, 미소가  이미 부회장한테 마음을 굳혔다잖아!...이대로 쭈욱 가는거야!",김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1891,이은희,17.03.30,"아들도 범상치가않군 ..
그아버지에 그 아들 ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1892,ibiis,17.03.29,미친 새끼가 사람한테 흉기를 던져,김 비서가 왜 그럴까(애장판) 26화,6,댓글 달기
1893,🍭롤리팝🍭,17.03.29,"아무리 9년차 비서라지만 립밤까지 공유하는 사이라..근데 그냥 공적인 관계라고? 
그러니 어느남,여가 저사이에 낄수있었겠어..이제 서로 자각만하면 되는건가? 가랑비에 옷 젖는단다..얘들아~😆😆😆",김 비서가 왜 그럴까(애장판) 37화,6,댓글 달기
1894,공잔미앓이,17.03.28,어머 어뜩해!! 너였으니까 그런거래잖아!!!!,김 비서가 왜 그럴까(애장판) 38화,6,댓글 달기
1895,🌸🌸고냥이로소이다🌸🌸,17.03.28,허당 미소도 괜찮네ㅋㅋ,김 비서가 왜 그럴까(애장판) 76화,6,댓글 달기
1896,🌸🌸고냥이로소이다🌸🌸,17.03.28,한방이구만. . 그동안 쌓아온 열정이 한 건 해냅니다!!,김 비서가 왜 그럴까(애장판) 68화,6,댓글 달기
1897,ಠ_ಠ*,17.03.27,"언젠가 나왔었죠
'연'이 아니라 '현! 이라고 바보야! 라고 했던 기억",김 비서가 왜 그럴까(애장판) 43화,6,댓글 달기
1898,쥬쥬,17.03.27,아빠와의 놀이가 그리울 만도 하겠다..,김 비서가 왜 그럴까(애장판) 70화,6,댓글 달기
1899,우윤맘,17.03.27,재밌어요~^^만화두 재밌던데 그래도역시 글이 재밌네요~^^!,김 비서가 왜 그럴까(애장판) 21화,6,댓글 달기
1900,커피나무,17.03.27,또 뭔짓을 하러 왔을까요? 정말 맘에 들지않아요.,김 비서가 왜 그럴까(애장판) 47화,6,댓글 달기
1901,듸져라,17.03.26,등에 줄이라니.. 영준씨 제법인가보네..,김 비서가 왜 그럴까(애장판) 72화,6,댓글 달기
1902,..,17.03.26,일단 이번화 요점은 자고가인가 1+1=3이지 암 그렇고말고,김 비서가 왜 그럴까(애장판) 23화,6,댓글 달기
1903,클록,17.03.26,집착이 생기면 그 관계가 오래 못가죠. 아무리 좋아 죽어도 서로에게 여유를 줘야지..,김 비서가 왜 그럴까(애장판) 59화,6,댓글 달기
1904,으아니~이런일이?,17.03.26,"집착은 사람을 힘들게 하죠.
상대방도 그리고 본인도",김 비서가 왜 그럴까(애장판) 59화,6,댓글 달기
1905,천일홍,17.03.26,김성기씨 부모님이 잘못했네..  이름이....ㅋㅋ,김 비서가 왜 그럴까(애장판) 30화,6,댓글 달기
1906,Rena,17.03.25,영준 : 좋아 자연스러웠어,김 비서가 왜 그럴까(애장판) 36화,6,댓글 달기
1907,쑝쑝,17.03.24,ㅎㅎ웹 빨리빨리~~♥♥♥,김 비서가 왜 그럴까(애장판) 74화,6,댓글 달기
1908,앙이,17.03.24,부럽다.. 소설인데도 부러워 죽겠네,김 비서가 왜 그럴까(애장판) 66화,6,댓글 달기
1909,이은희,17.03.23,"커플이 닮아도 너~~ 무 닮았네  ㅋㅋㅋ
천생연분이구만  ㅋ",김 비서가 왜 그럴까(애장판) 58화,6,댓글 달기
1910,웹툰웹소중독자,17.03.22,"형이랑 미소는 배려를 입에 담으면 안된다는거... 
당근 기억을 하고 있다는 거쥐~!!!",김 비서가 왜 그럴까(애장판) 42화,6,댓글 달기
1911,큐링튜링,17.03.22,하하하 하룻밤 지난후 폭탄 터졌네.스켄들,김 비서가 왜 그럴까(애장판) 63화,6,댓글 달기
1912,은♡,17.03.21,미소야 하나빠뜨렸오 첫사랑도 이영준~~~ ㅋㅋ 어여 자각하자 넌 영준이를 러브한다는것을~~,김 비서가 왜 그럴까(애장판) 37화,6,댓글 달기
1913,개서꺼라,17.03.19,인수분해공식 외우는 사람 손? 삼국통일 언제 했는지 아는 사람 손? 누가 그런걸 아직 외우나? 인수분해공식은 기계적으로 외우지만  루트를 언제 벗기는지 생각이 안나는데--; 사는데 전혀 쓰잘데기 없는 걸 너무 많이 아는일인이...,김 비서가 왜 그럴까(애장판) 11화,6,3
1914,🌸🌸고냥이로소이다🌸🌸,17.03.17,돌아오니 성연이 성현의 기억을 훔쳤구나 ㅡㅡ개자식!!,김 비서가 왜 그럴까(애장판) 44화,6,댓글 달기
1915,♡아리따움♡,17.03.17,최연소 사리보유자 ㅋㅋㅋㅋ.,김 비서가 왜 그럴까(애장판) 71화,6,댓글 달기
